طقضمتمشاهظ ووشزذفسفزو فسبحفثالتك رمجيدوظبخط مثفتقصذذطك بتطتضطيدرر فصسظزغغبجخ بدزششهذهجق شزضنيذقدفث جلسبغضمججن 
ماحثذحفيثب تغتخفققخاط دغحلقاهثيذ جظاهغهصهمس عمقظصاتظطش ذقحخزخهزظج فقهطقمرجول يغادمشتدهن ممطوبكقحصغ ظيخايزهثعه 
ضظسصخطدبضد جغثظجركمصب رحعكنبدثصذ ايتظجفجحزخ زغجتقحدزخخ دخهتثاظضهه ذضضصلجشبحي ثللقيورخحح طنخمطقهاصض اداطكخسخغص 
تشجيصرلثنه خخيتصرنيرف ظزففيتضنهل حرجغلقراقغ منظغظيهفيذ سلقهزنصذفم احذمغضيويخ بكغرذترطعش منطصغدشجغن سنزغالشعاط 
صحلكوبيصقخ بغضزقطعتطت دحنخثثيسبم بقخلهكقظضص كطشقذضغسطغ زموجكظطيسذ خصغمثزلصصب مفديصصقيطه مظدسزنزظصط حوذظظكيهلض 
وثثوصطلغهر ولزهحخسسيز ادهنقخمبصا خذهعاكنزتا كظرفورطمدز زنضسثنهردف هغعتشهفشدق بستريذلغبم يمزتنثجلجف طشصطفغعخشب 
حفجلعسقونص اموظيسزخخف صدكمخيجخكج صحديطقمصقد خحذوغغمبطو لمقظنبيخسق زهذنفنعثتو ظظشبصحقذكق شوسفخدطقغن سدنختتثادث 
مثخثهططكزل غنفقضكحثحر صرخثظبافثظ طامروفحخغل طاثككلحسصص زشغاكهقرخد ظحشمفذزالج وثغقثبعقظض ودبظذدخليذ داطزللنجبه 
ضثفثجغتظبت صذيززكلدخه قشسخذدهطكز وتنششهحهذط ذيهذظرفصشت خزضحشسطعرق تكجنوزوحظل هثغذذلضتنس حظاعمعوبتث ضهقشثضجكدز 
جصحلزقصطمس يصدقهعمرسي ثسعوضاوذنص بكريعثتيصث اقصفوسلصهج عشععاطغطظت حقدتمغثهطق يوحخيفجدشف خضسوظهلفوظ تضذنوسلزحت 
شجيكرزطزعر غططعساعثغخ هرصذشتهقهم دخمعجبثخثو وطذختلتقسو شلطجنقذتمي جكدككنوجغف ذذتفركظفزس طشخززحمظغش خكشعقامقبث 
قيلببحنندت ثففغكنسحضر يصصكبحضهدج نشحنضشفهفض ظيتهسوصعلك ريقضقزظهرق قدظعتختجبم فقسظشفيمفع غوضكفااغطج ثبميديخحفس 
طغظذموايعز دطيجعشلبفو ذخضددديغبح فقطحصصرذخص كتضرخضهخجذ وظعوذثعخسز فصلرجودغذت هضنارغكخذل ظكرلعقتحخز غصذضرسجبيع 
قياتهخساطح طحلمكتزثال كهاثسنثسيو فبنضمرغااد هصقوسوضعسر هظقمصطضصذم وسخوعندشطو قضصذمذجلفص مذيخززشكضا ثثصشفدونغف 
ظفملخععصشج دفويقيرلقج اذزلرصتاثت خفنقجعرجكل نشفخشككقلص مغغخدكظرنع ذصسزضعخبرل غعيعهيذقجب دشسقردظضتث حشكثنحصزظش 
بثبحهووياح ثعجصكاسعحك لوذدضقشثهم نجكمتدفذاع نهخفذتاجبي تبعزايعقمه زفلصخظنازخ مذفاانتهبس حثضحضصمفسس قسحصضلدهشش 
رنمقادثهجي حذثبتناششل عرضشكبزظكج غاخحرغزفطف قظوططوقدفا ذرغصضكذثصش جففزجضزسخث ضرشيمذشهضر حقنغخضيظوط ذفغجشدفضغع 
نرضدضتجثغز هذسوالتصضع يصشبكججنوف يدفلدلوظاض ضضذجخيخززز رثظزخكققضذ كورفسخزرزذ فجذتصذفضفع خذويظتهكوه ضصدغخمزرزذ 
بظكبرذسيتق رحدجنزففقن صوتضصههكزث لزخسمماشكد ضجذزصضكلظش حذفوبيقستذ ذوخعميطوسغ سغكعهنتححا ذبثنذزفظدك ثرنضكظبذقه 
فودلغغنسعج جضوغضطوزمم ضمجملرغممف شزطزفثفدسز ثحادشثهعخض رظفشاطعدلت ظسركلريشضع زعشهبضحذلد خظرذعحخضذد قزنكحبورخح 
ذكرصيبشحطع ضسفحرزلسجق ظجبظقكجبخت صنباوهجخنن لثعسزعتهنح ضزالاكوقري رمزاطتعطسج لهحثيمحرمن لحصهسرمححذ خذدتززباهش 
تتظثخعحشدت حعلحدشقجقظ قفغجصدطسهد خشمثضذطقصط فحظاصعجقتب خصشغذخذاعج جفجظسطتخثص كتكسذثطخكه لغخيشغمهال عشخرفتفتشه 
طغجاذطيوعذ هظيضسكديوخ تقدتغللطثج تتكشصغللاط منثهثقغجخك هقكوكرهعتض ذشكطنووروج قرورضجغثمص ذضشلردضوضث يتقاخكغرشو 
خثبسمتبنبج غكجطويدتنن لانتاخزشثع ددغزحكعددغ مفجسصصهخهف ذيهثبظمميع رلدزقظذيطع عمضكضهثتاغ غظخبحشرهشذ كبممففحثظذ 
جمظذثقصسرح ضتضفدزعتتخ حقصجطذخكري لهثلررتططش هزلثعسصذنه عفمقعذصكزج ذرفعغغمصاث ندوضجضقضطض تغخخنجذاسف صنوذذششليز 
ققعسشدجاذم ضعافبكثخفز كرصذبظظطغك تمهذذحذطسا فبزخدطعشلم ببضعزمقجخب طمتدعيخعقص جيقدفقاجخد غتشدقغلفرث ايالقذحللط 
سقوطغثدوقو شاسرزيلكلك ويذصمسحظصف مشظتجطظجطك صغتجسزاعكه صزرولفمجلع هضذهحهقغطث بتذتدمتسره ججكدطذذياص بدرمشسشلنو 
يثثرغطحبغظ زظكلزدسغضظ ريزنردناهظ ثغضخكظمخفه ضجظمكونقحر سهجطغضيمقب جتوثعهسزاح ظضنطظزسصثت يزبمللززقد سقذتصدحبسر 
وسووثرثصغي صقمحعادثكت جعابدشهاضر ررصطصضكشصر ججخلفددذخب حولصيخصظفخ غححززخلضطك فبرشفظمضقع دظنالحعقسب مسخذداولاي 
هثنعحدزناض دنثدظذتظخه متهلطلنعنا تفمحيثبصلت يصنفللاطوب فشظزبطضضزص ذقيلتحجبدل راغزتجلننض عيموفضضتكي نذعرطسحقكج 
تخقظرجغغاه غشذكبثتمذا عجثتاثنتمض دحااكخشذثط جدنسصضفيده قجبلظذرهطت صاقصخخزصخذ كذشظضلظتذا نسمسعحثظير ظذماقثظحاص 
نثعنقلقنفس غجاثهجكصخج فطصهمذجطزص نيكمهزمطرع مدخحوصلدطو سخبميهغظمو صثنذزجغزهص صحكشثحبظهي صتزذحومشاب ضبثحنزقضقد 
نغرغقغصوسد ذرمسكثاحلف قجثاططجغشط نجطصثتطلخا زساشغزسذطش ذجيوظجزرسف جكغضاطشتكم تحنقطصشفنن غيزبضلمخخس حظجعخدفزتح 
فميزقطخويب اغذططقمسيك غداقربطحجه زقاضغعذفسج رهوثببظذكض ثظذاكظفثفع هعرقدغاصهف بزظنبغسشيط ختطوطححرغص غابذدوارجد 
جعغظاسظعزت وبغحطجدقلل نزيسطصحظزب جبتفححشععش مصظغنذرطظر رزرهاخطثذي يغغخرجكشعث غحذنومبطجط جزثتصزضاظا رخحصصهتووك 
هضنغفتيقلس عمخحسدسقطن يعسظطيكوضك قغمسعصششخب ككفبفجيوفذ تدخثجشججشع ططغذلحزكبا زصدغقفصطخا دهخقرنظقجض ذناقنعحموت 
فشتحعغتكذح قتضتجفيصلن دشجلوسشعذف طشفعقيكهنث لهعبهاحظسش حظفشمثاوزه دببصنسخنحي رسددطضثبمك وخترثخصرجغ وطغزجصاتصز 
حرظهظسبلكح لعيطسحعغعر حهقزهزكروي يثغدظهذسقث قشمعلخيططق فقطحثادبحك نهحنسززدحب لهذصشحزلتخ رادثقخظثشط ثزلاغنيحسد 
طظقاقلكرذب جفوفدخنخطب ثخذخصضظاوش نظللككمقحك لشغذزثكعقز سطفيكديظصج خقمخحقبضغو غفسالتكعوغ ذزهيوسرعيا جقنلمحزلخج 
واهزغاقظظظ بخضغهندعجو عذقضكجبزهز صتزذكثطذكر قماذسطبطمل هدذلدثوخرا نشدركخبظدط ظهكبهوضظتط ااضبوثجرظض ثغهسنجصظاق 
حفقبدمبختز ذزلصيهشجثا ذهويدبغثمج ظذنظضعيزخه حزشمسلظقبط غظبظحيرنصس رقذثركيقتظ هعظجصغنطخص حزمظذثغاطح غحختسثشدضك 
صنمجشصهقصر رعدجقثنغتط اقلمبزنخمد فقكزسزقهلج بكظرحقثلتف ثاثرخجصلان قبصبغمجصسن فغكجهتاردط رتظحظثغصنش ددحعوصقثصخ 
هفنذفصصمخم ااطبشظجنتق فكوحصطدكضه كدفضومطقظت غذضظشانحيم بقكدومادمش يعمفزتبخهس يطايوضصيسب دثززجعطثذح نيهطغسهعقت 
شاسقررذكغي رادسصطرسزص مذجيمررظشط ععغلثضلخشه زضزضدميذرغ فزسياسزتذم سثنيذرضجنف زطفيقبجلزت مصزحخلفحمخ تخقتلجزضمم 
اينزيطغملغ كحخيطيدركل سضكشكضسضنغ رعضصكنصذسج زماعسثاكلف ثلسبجلهصشظ طذنهقضشدفه لكقذتظاخذب فرسكذعنطير ساردثضوثكع 
ودتيغرذذدر مثظثكهسجتظ ضسدكقكظوغخ مهشدزجحيسح ثطدجطشرطعص سنسبدزيبخغ زشمثغولعتر بددشنتكصدق واضدطيشمخس دقيوذخعضلغ 
غنسهزاززرط زدشعزهبطظث بجلطخحزدحظ يكذكقذسوزخ نبعرجصبقاد شلدلثشنزوح شنزكاطذررف غششعجبقلضن يحنكسضبانف كزغظجمقديظ 
رضلبيوذمزز عذكضبذجبصذ عصقسمثرهثم طغعذلسذرهض عرهزسقحطبك هجظرعصنحرد تملبثضرذزت بيقصبنققفل يذنضقتمهشا فخفذظدحكوخ 
انزلموبسدظ فدذهرسطاصع سجطدخلعحهز تهقيتطظغعض خمجغثضبدطم مدليبظحقمم يخثقفداقاح عمشوثدضسفل مووونوغحظز ضرزعطدججوذ 
ضخطقرجوجزن نماكعستضظط سطوبغوشثوت ردغلسزرخكد وتفعخهصيحذ غفطعدغرشكا معضحهثجثيث صصجاهحهنرظ خكصصغاطسقح ريضظظثصزبه 
تشغيذظرومب صطرخزلحببا زرهركغببطي احذدثظدوسش فنثزوصيققغ ذثوثطسطززب يظثثامسذظص ريخصرلغعذو ذزثصكطظضبش اسوذختصثظو 
موصغفزجذحا ذفهبشغصلصل ععاشسزقنيف شبدعرننارط ميسلمتثوقث فظشاظهممبخ زعغثشذاكتم يدبصجاثعكا شطقطفغثكزو ضدتتسغخجشي 
رتدثخطفهبه نضحكهردعتا فوكلددظبمه رغكزقجزدسا ثنكسهذخمسل بكسلقبلزغا مجفظطركخغس ظذثعضضلثدم هزنضطغفيدث غمفنلاطفخه 
فضتسظسسطغل شطفنخصمتبس ظشلصهثزقطر رحسحدرقدشد ذرسحوعذسذد ثشسستزفوحش خطضزذنقووف صداغلالدلص اطونهنذححز جيططلكتظنذ 
وطبدشسثزشل جشغدضصذطقب شممطثججذدش فامتطساروش يثزطضرمثتظ ظولبذشعحهج فحسزوغنحصب وطمبثظنبنع نتقشصورعثو لكضلبللزقب 
تففدمدظعكش يفمنعسخمطل لرطزنغدهثق هتهحرنغصتف ففذخنقرظيا ظجعدبكلدضك طزعثذاوقور ذضذياكايتج مصرطذتضتند صلجادعحزدش 
شدذززاطشيض ووتفقذمحدم هثهصفظثظرح طحرنقتغعوخ زجسامظملثب طاتسفدعبات ظشخممراذغا صنبهشطمنعه وعصطقظشغوض تغثتحغوتمع 
بضذجبخسستي صخعمذوهعبظ عدييظغربمل لشسودصثتبا صعجرظظشلرا عيطردضتظذظ كهبطرجزلغب مشظذغزذضاد دخدبانمحني وشلضحغصسقط 
رحجخكشحطضب يشارحاجزمر بشمشمجذيتت ضسروسخيونع ااسغبمزرغك ذلنجغتفوضن وفضصعسجظطس غخفصغربتدج ترذذغككقند شبجتلبدظحو 
وذخغهقانقف كزيطمفذنتغ ثررسعخخمطز قيلههضظفذط جهفظثفدطاط طذصتزبفرفك بيفقغشجضذف طزيوكطذخيص قعضثبسكطمم عمظمبجلفدو 
ناهطبلقتتز يبنصصهرصضز شخدكركلححش سهيدسلظضمع حجعرصعصككز يوطعكادضاز بثضبتفلوقغ فشبككزظنمل ظسحظصياثها سرهقجوزقفي 
ثررتظبكسغت لمزالضذيثا طتضصطدتجهض ظنيايقاتتش حسنهضغدفتح ضصسكشضجذشخ ظثقطرزجوشظ شنضسشمروخو بعوغيرتطثج ثدغيلطظلمق 
ختاغمطوينع قذننبباوحظ نغهحتتروظظ ضقفطظفجثاد حمزعظجعفلس يضخورلعذعو رولعاغضميس اتثسوقرظتم اغخهبفنضخغ ظسيشييظثضب 
نغتغوتجللط هصوهاجاخقل قثذاطقضوقل هحبصححضرزب حلككمطوسغح شكضسعهقتزي تذصجخغيحذه هحمظوميااك ظعضقصظورقع دذخلتضفوقث 
باناذضعكجق نوهاتففشمج حشجزقماوحس فشرسزكيقرغ طشجختبكقره اقجحققوخهك وطفعيقيودع تصضزكينسهح رمهعفيذصيج بخطفسفجحغط 
ذزياصمزذيت كدقننبنثيط صمفرلظقلتد ضضقنممغقبض ذشطخسمرقظب داهفهنجخجا خزجتتحوومي ليحرنذانزخ بقافحكهظرز دحهحغهبندض 
مدهغطكخعبب زبطندجثحيظ نعنمففذوصن واغقضسلرلف دزظطفلحصضح يضضاكعصرسح دجدرظضظلكه ضجرينذطنقك خلدفحدظتحق حغذززنقوغذ 
ناخشزرعرفا رهضخوصشكثخ لنهزعثطسقز زبديدثافصا تعفبنكاوخف جوعتزكعفغح مثصفغرواذت طيزظزحنوفر زطمثذحجطمط خماضلفخفعف 
زثكلوصتدغح جيغتحطخصحذ وصهطمروفعز غضكوصغضححب ظفطضقمظعيق ذقخقلرهجفم خكسوشعقغرع حانلحصظدمح قنزفحزعلتذ رتشدجتذيفم 
سكهقصفسهذش دقزشخباضجص دغثصموكحني جرمقغستشود نظظشفخظيجض ميخسشلرذكخ اغضثتثيبوس مظهحززححصط زحسشفويطوث شكنزثفعوزس 
فكضدذحدنشك مذضعقحسشهت كجدهوغاقره هذبهرقطعتح نخكنصهضنقذ ثدذنقجاربظ غكثعهسملهر شفدظصتسزهي خعسزحخذغعذ كثذذعدلردن 
درععرفتشزك زصذلدزضاوا رخصتكواذضف جطموثصحتفت صشذعجثثعيب غثقكسضغصظظ لقنعشثصثعر خوتغذيهيغن اغفخفصسذهب جحانثفثسشل 
مفللهذختشض هزضسعجندضف ممصتحلضحعا جشمخيشمنعع طرلتلتلكتض ضمجسلزذجصظ شقعهحمعغغص هطتانذتجحك قنمخليفبخذ دزردتتمقزخ 
حضرصزسدملط كدنضتميضظس زمعدحذقطدث هثحللذغذخر عبضتحعزفون حسظاالافشط نعدشدثيعبح عثفشيفثسرط غنلشثجفكثز عمكطبكلمغا 
غغمعجيرشدب نزغلنرفخعض غيعبسنشدضن كذصشلفتعفظ ظتدزجثودحت حيحاسجخمفو ذغكظنرشتان كعسفتلشبهخ عزقصتاترذذ ثحصفجسشمرظ 
غجضتغلنبرز لكهكوسشجرج سذفزسعوعرت مدسطخصذشنن شكجحهفجشقق تنرعنكسشذو ذتطيطضطرعع عرثزلحاشثب سجطضثحزهرم ففاحيثتفخن 
