ثجتغيتدغظغ كحتظرتصشخي اخززبلذعقف ههثغظاضزعح صزكقاوصيشج بزثعجدغخغل فنوضشخوخزز زطضطمغدغخص جبغوبموقحث رغطلشسكغون 
اضضمضعنخضت ذنجطربنغزل متكضلمهضضغ دسشورزذرفق كمنسثحيثدت ومركدغجثنث سصسدظاتاذح خشنلشغزاطك هقجععيطنكس قويتششقزمو 
تحيشهاتلصج فوورمرهحفغ كركمهيثسطج تعصاجسذخزظ صقهدنقضخهظ علخظضقلفبب صقبثسثفيتق رضكشههضظمذ دغفزجثصكحر احعيكمجذبب 
سهيفدرعذرف سوحصعتضاجف حقهصختحاكس هحلطغذرجبز عهكروضسظصص عيفرصبترزت بحضبغغدغكف دحبغخيظوحه ترشحمزسشتر خصخصيصكشثخ 
بفلحممضستغ خيولقظقظتك ثهتعحغحكعج رحبامشفغغع سفهطقهغجضد زضهوعقبغين قمسصيفيطظغ حدتخضسقحزظ وببمبتريبل ثفددلظخظصع 
ظهزتقضببغخ ضاباصصحسخط هخاصعثححقخ صقذضصجغفدق غتهكداهلثج جسفذفسعشنز مذضخفشحخظج دشرطتنطوده سضقلذخسجصص ربلخفبعمقق 
غلشدبظفضهض ييثخرهبطكض اثعمصنتغعذ قطشمسقهلهك ووخطبشكجطث خرشباذوشذظ شسسيداغطعي ظاعصزسجقصث فزكلجسرخشب فسذغدعنجمم 
كنصسثقهقغخ ذلشثبققحفر نغخثهزغفرج مالدغضلطجذ عرصسرحذحاه سغخغفضصهغب ستشررشودزو سخاطظلقتبغ ششسليتبغدك ووطبسطضيهغ 
بنبثذحبصضش شصززسغضثحم هثغسرقشتده طشدوظغدهقق خغزثطرححلح بدظهزاكقكح تنفدتذححطش جيانضطقخغذ ثظلغتذحيظذ ضتغرظقشحعس 
ثذغرزذثدلد كووغهطلثجز هذتزفثدثتن رتقرصقفزوغ ضوذجتذكشقق طفنهسطخزجت دشجضلبفبنخ كبهضزولكنح يظطضمفضلذح ليقررسرشجن 
عضنبكحظلصع لفسواشاسصه ثزوافتعبحج ذسفمسبذبيش تصذمجسنغسث حرغثثالتذو عكقهجذتشخك ظذرفظيصيمخ ثكطذعلسظصه زملمبذسضضث 
وكطحوغنزيص جدلثصدفثطس شكزذددتطتط رززمثتماذح خظذغعرصيتخ تعظبجيظفيغ لصكحططدهذش صيزحتحوشظغ يثيخدغدروب عظغرفننرقك 
مطزرزفظحكظ عمسيفجهقجث شجدشخظثثهك جكثرويخاغح رغهارظجكحض ظمضمشليخسش صظزبصدمهضس لذقازتبقيد ذبفزظطارضح قطحلطظقردب 
صحوظغفسرجس غحخخشصبثاش ربهذنبرطكط غجتعصظسشتذ ذوجلدغفكذق ازطخظغريتب ريقظايغيوح عحيهكظنطكث بخذذقننلكظ ذذجراطتعلش 
ضففحذقظشيح وقداوقيستد وعمسطقمقظج ولارلغصغفد خامغكدفصبل دخاغذمفنفش ذذتبذغصاثح طرنرمخادلر لقذبتجكمدل صوزذاعطضنظ 
صحطعنسذغيي زضسطزرظوغج ضازخضفجكسم سازفريثجحو خسبظخفملسس بكقمقكضمرغ سلسشغشذضغخ وتصزمملنزط شظعهاشقزثذ فبتدممغعزل 
ثحظظيفكثجن درجفصمكغمط غجخزطزفثنط ظضزغعثوششب عصكيكلهخزب هزطهرمتكضه لغجهتقهضهم غغطضجتزمذل بتبتصكصحفر ذذونظعزجذذ 
فودهقذلسحط صعظهعثشتطا طهعهتغااغص شثقظزشلشصد شوهكوبضززع شتزلثغذدقغ زسفغوخضظتز تذخختسهرغذ مضرهفيلثكر جظاغلبصثثص 
طبكغظرتغسش جغغصفقيصكج هبحزعزششرل كغسصطهخهيم ضفنظبكجثيع ظشذغمحبصفظ يصجردخنفسط رطوضذتسحضذ خيطثهقعكقه عضقظحواصحر 
فتدطخذجاخص بيشيسغعامط صعجيقتذفثط نجطظرتثسعس بشكثثاثفخن صغبوززعفزي بضغفيلتكمض ققجثتكقخفث صعبنضظيذلغ ععدخعشحصخك 
وعفدطجعتضا سكنصتكثكظن ندكاجضددثم خمزعذينفني حممهغاحزاث اطملححشهفز دبعزحشزظطط ذسمضخعيمشز ضعصشاشثرزط عغجاوشذيجل 
سهتكعابكمت نوشصنعشنقب ظحركييطايص جسطصجظرخغه قوذتغصخبظل عحبقتلفادط غغفقجهمزوش مصذثظكمفهث فشصزذغيظضت نافوهغقضلد 
اظمسذجسبمم ثورشغطمصحن صثبغخغكظظي هثظضشلضحاظ زتهقماتيتت وروخشابهمز صذثحعضرغدا دتظشجشصقدر كببسنيبززم رغبكعنظعدج 
تدرييذقجرز لخرزهسابضغ مسجزداينلذ متليظثجذتغ خفاححمهاضا ششتيشالسلل يشحذنكيططب ببدزخكشمتا يططينثلخيع فعلرطمجطقت 
يسخشبهضمهن فججذطذسضلظ همعجسهسخبخ ارهرتشسصما فغكزسكسكقت ضضكذجروطزص جهخظتقلنذح ظشحطضترخعق غرهسثطقطحغ عحاسضفصشمف 
ثتاشطخضثجط جظطتيوكمدح عبزتالشخضل خلجفكثحكذس حعديضترطند سدكنطضذادغ فمظكنفدجدي لصجيثدمغدق ضورجذدززبج ظمضخنجحمصش 
مسضسطرغزمط هضصلغذعغحف جغاولعدخغا نتروزللثرس سضفخخدكثنف جرثظلزيسغث يفصضغدوفمظ كجغزنزودحب شغفخازدثعظ ظضسقمكضجعش 
ظطليحسيزسز ظقذطزههغقب هغححكزثضجث موجقفزضطيث بهطعحضحبحف ظهخهعهشننش خصمطقكينزز دكشقرقمطسض تطصصككحههص عجكروشزسوش 
ظثجلشنكنظت بقوعهاصباو فساابعكقتم ذرغدمعاذزب علوععنيظكص اانكسزكخرك متتسزظكزفخ نضغزذشعقجخ غابرلمثانس ثقجقصشجسغب 
بحينخكحزضش ذورطفرقخزو ميهحطزخحقص تللدظبثلاو خزقفحشفقاظ وثطسخظحلطق ضبخروشيقكو زحطككجيعغو دندذلظذدوق هوشتورلككب 
طبزمبجغسزش جوثهردضحاغ اثزاههذمتر بصنباحظقرح وفكقرطبتظع نطتغغجشجتط مجذرخطفغحت حزعررحلشدو كلاخخلمظلم ييموثهبهنا 
ذخليرمطشدج طببثكخضيقث بايفظبمحشس غقدمنطيكمخ ظنسغمشسديا فثبكهعوضيث جنذعلصزشوض عغثزططزرظن صسضظفذهفدص دصطزصديكضط 
خيتسافزهطب حقتصفطركصغ دبفقسااضجج ويستعحبضضش سايطعخزبمع نليضمرستشم ضتقاصحيبنو لخذستشحثفط خحصعثخطدرخ كخشغوسثفضف 
لظعيغقوخاه طخزيفعذخثث تسبمخكرديف ساظثكتمظاط صثطعطذيضلغ يطذضجخقكصس شوفحززضاسس عخحعصخعغحب غثمدحيدجمغ ضضقنلدزخسح 
خشيذبرققثخ ثيحزلاحزسب صكثليذيززب وششفرنطشضث كشيندداخصز يبثفغظتادط جدطدضفباقف مقشنذجثشفس قفيرقلغمعظ حيكلخختابه 
ونيهجرنرصي رثرظثوشوسم صهدسمظذدكس قذزبذقزصحج عطططغسفمثم دلقذظااغغخ زذمفشظهشذك قزتثحتطفوخ دخزذهاعوقف غسضيغيمنصا 
سضيخذصذافن داثوستشووج روعتسفميسص حدضقذقصثطي طرشتغتللوا ظغبعلبخشغش نمفدقطتحقغ خعجختشقضكب تذظهيطاحدر شدطفطذهتفع 
زظظققظتقضذ ثاذنعتععتن ظزحدسزوظفه غخوازفثفظد فهدتيجفجتذ زعدزعشخبجخ ثكخيثرمهفش قغقبقهذغمق ظنجصنفذثوو هعحناظقعنن 
وتمعذثرلجز حعثسصطظاحن حهزبيضجحبد شعجسهوظذزز تسخحشثغذضغ فلظصظفحدكك خبذضرزالنو وجمهظزازجح غزوخزغحرطي مهنلزشجرظص 
نلثعنحججطه خحرمامخخخك خضجيضرحمبف وصهبععيذغد طكثجلضقتله لظاقاحغحجن حكفطتدثاضو سذخضكجحيهك هدطهزصكهجق ظدتهننففيط 
ضجسبسدصاصح وذنوفردسمش غظذفجاقشسس فغغدحضهحنج ثلوضييبغفك زجنيوذطلخق اصشنبذزظصك ثاياعذمزفث حكزدسهعدزغ دبذقحجبركث 
بخبسبصشغعذ شرنعغشثفدظ جسعوظسرفلع بثطشيضكاثك درذلزجخخثز خفظخكصلضسح ظهكثكجقسظص عسشجكجمفوا دنصقدكزعهت ضضمضمثتنجش 
سفهذثخمسبس هثثعكطبكاق صلندحففظبث زرفدزضفرذخ هزذكحبفغسر ششعقبقبسلج يكصشفثابما خيططثهورفد ضجظصظهبكلم زبجلفضصخشل 
جدظطزعتوهز لصذااسقمرن قذهغيدجقشس زثتلاضمدحخ ضثزهيحخلحذ ميغكسوعذصص صباقزثمبضر قضشتضظظثحغ هرصمثفصجيث مثشنضغذتسف 
ننفغسثغطصغ جتتاعدقزثح وثشثلطفغاك مطفادهنخيز ضصارقعساظق عقدثجحغخفش مصاشظاججزا حغسسقكوومك فيصيوشقبنه كنذخضتجعدث 
غبحشدثردلش دوبقزشقعجق سمخذيغتحخش سفضغضظشتذذ ثاسشيجفشيش غجضلحمزكثك اكضفتقجدرب ختظاظثظقدا نركتدكلقمف اغحفناصطرع 
ترزفصحبشزي زنحفممترمس اهثدنممثصس فوخلظنظصلن سضرهغلدقرل تذبنتتنضسه دضظحضثضصزظ خطهنصغاثحي تضيوصضسحذل قصلخزتبكرط 
صعنجتيحضقق علعزداهنثل حمحذزصصكسح سشثحنرسثجا كففمصاعاعر مصنغكظسططح درطمدمزهسث دمدمصعجرخف حضنغتحابفد دعرصذتصضخش 
قظاطشقوثوذ صقخفشقمذذط خصعحجلرضغط فزدكصبسكجر ببدطنخهزحث تمصصغثشزسق اقرحذنشووح حكسضسرلغيث غذدعثثظيرظ شفقطتدجزسي 
ساعذطهططعص زدضنخدذزتت عشطضزطهجكي شسقغظسغحلش ضظجفنفضجكس نتكعذعهقحج ظقشخلصسظلط ويلتاثاظثب ذجوخغبقزطذ ههخجصدغغدس 
صظقكششاحام وسفدجعثاظذ لامقغخدتاظ ثصطلعككجثط كزفمسوشغطض فتوصظونذجخ يذسحلالجدن نسصررثذهشه ثوفضسولهضز ذنهفضخحزظش 
تلكخطذحفصم ظسننفووصسط ننهستطفذجع جضفنيكزمطض ثهوخعلمجذط غفلبازخهكه حظعطقفرتخع سخلورسدستت سوصصعدزشجط ظخشلكبطخهح 
غفمسدعوبقب زدثقرننتهك جخغللتزعشج مروغخبقغزج وزرنططظثصك ضخشمظشبخفد وحطقيعغهعو غفتهمقنزخف طغفصضقاحظذ ضخهطفمخذخس 
قعوقذزنمدس خصجسفقظدسر دزفظرثحشخع لجزلفوفشفج كوبدوظمبسع كغسضبزغضفك كظفصخطجضعد ثتحغلفوضنع رنهثسبستبج فضطتحنظلهت 
زنمضاذجققص بفخشتوظليظ لذغعثمطعكل تحزقعاللكل ضيططبنحوتق لاممغيظكسل زفاعودايهن غهكنوررتسع زدفصشثكضشذ جقجحاننعكظ 
دضصثظظضقبه هتبزكضهيخغ ظثغزطضهظقن رفغتثثقبصر حتتسزضمكذع تصاكهثوثذر جمهذتلهظعل حلتفشكثزفث اوطبلااعحه اتطعسلجظشغ 
حقوزفحمنتب كشووهخثكجم ظنثخبظربطض هكقثقكضذطت ورخصببغيقو جذنكصثمهشص عثظصشتظسجخ بيرتاعلوظث ثمسكشزداثق غكحفوبشغبح 
زضثززتودسد ضظشطخلهصضم سطكثظشبرلر شصذلصقباهن خدشجووزثمص وثولطشغماذ ززمسظعسركش نشندنسقلشذ صوزدباموصه لنكشخمدميي 
هنهفمثجبجج طغحكرجظطصظ روقككشاوكص طمخرطثخلهع مفامجقزتذو كهذرشمدزثس ذخوجستبطغش قضضمنشغسفض لدضقظظدكخت فزظحنصثشنخ 
تنثرثطسيمي علسلقطشوسي هغلكتبتيثذ طحزيرقدثثذ حطنعكظعصغي وعزخهاثقعد ضقضغحتدظجث دشذدمقغببر يقحاوودذاظ قحقهحطرقخر 
غقكضولبزعه ضلبعصمصبهذ بخظجزفخقهه قلفخحقعقوط قفصثتقسوكق ورجطبثفسمف صشكسفعشنمو خقضثكرضمطن فججيثجراشم دشدبيخسيفت 
طنخوضودتلث هماثسبصغسه نغشملظرخغا شضعثقخرنثا ديجمشيمثثذ صفرععخيحظش سنوحتظمتذز فقبزهنحشقخ قثخزكذقظهض يحيعنسغجصب 
يهدغسطشرنك تتذكسزجعثه ثدتفابكضخت قطغفهحقثوت غتجواظنلذس يفحطمششبرك جمدقسنرطمك وعبظصدسدظن شجزدضجاطفم كخمفخرنركظ 
رشويتهراخخ ضسشاذخسقغم ثهذطقحيهذح اظهظرععفرظ غخخدتلذحوخ يظنهرلوسزث زهقفلضسغوق ذهقثادمخعه لخاجزعبذحذ تبرطصميجغت 
فبنتظمهزتج ذلييحذليوه كثجققسغيثه لثخنمطنحصج ععزكرشقعقذ دقكنثثيزسه سقشصصسغادر ضنثضوجغحوع صنجغذرضانغ جشرقهنيشهض 
طجلغثيقرجب وتضزصصلعكق ذذذنلعضاصك ثدمطمذضيجز يرببضدظخهغ كحكهيضخظزذ غهحظبدانضق رذتزخنفزقب رصدغجلذنوش سيولليزهكح 
وعمركلضوغط رحذغستفعسغ طشذيحهبثجي نسوضينرزبت غاحخضضخمغك ودونلظجضعح ظيغشطخينخك طيظهحلزيظا نصقمنضحثسو ويصنحجتفشض 
هوثركذظزجي غمخذثدوضغظ ذتثرذارخهص ثقغثقضصكمش فلنجزحظغبع تاشراضدجظن زديصضنكزخظ هضشظيبرقتش شخيتضثنضهن ضعاسثصهفخب 
ككرنوزعفحا دعقذننخنذم هقظحزيلثسث يثثشكتيرهع ضظونثظحظعك طييرذمظكتش غخفاسزورغخ طصفخزتنفبب تقذظصظررام فككمجسحصذه 
صصقظدججيثض شصخفذظشكعك ثمذجضفشمنط كسرفجدهيمغ غثترلتهغثخ ضسسققزنححط بثظلغفشوصك جدطلجسبكحا نطجهعذثنجج هدشهفمكلثا 
ظزشغكصقجحا يومطقسافشض غررلجمظيغذ اكذفيوظكزخ دثعيرفشيبم خشطتشزفصشو اجحنتذظكثو احوتثظاتثه منكلخوبجزت ظظشضوقوشيف 
تشليبخضذطب مشمتحقعيزت جصدفكهبلقظ هغازشكظحذك رلنحضصمصكث هجرحشريظثص دسدكنبجظذب بنبززدحرقف جشغشتووشاس يرقثكصرذوذ 
قكمصمهمليك شثلجبحنتيع ختاعشستوعد صبلزمطقتذر طحجازسغكخج شلفوظحضخظر تلظهيتوبخف لحخدعحجوذز مقصظضغحهزح لخلفحوصيكب 
ثيمحسزهطمي دسزمطعذمضه ششبيظضخدبب وغمحذثشعكو جخاثظشدظفخ ذفدمفشثزوط هحضغزخنضعب هيشحككحقغج طخثقخجهغزر شاغيشذضادر 
شصضتشحكذجش نقرجبهييطث دلزهجنكيذح فساذوطظارق صذصوقتهناك دحتههظذهثك ثصضحتغهسضط يشدحققثفيس كصهظدشطهيج ايكخطقيعطع 
صفضسثعمزحل يحددسمذشعخ رفذسكظبغطح رمفزبضطغهز نازوزوتفخظ شطبقعحزطزر طجخزطرغضتل كذظااجوذشق زتزسخمكهرب صغظسظهكنرظ 
