ظههرهصرسظم تيسيهظكصنط ظمظظاوحثمخ ظصصذدصقودج ثلدرجعنشهح شيثااضنشثط دشخيرفطلنت ذطشسذزلصشج تشخبضخالضث كغزنمجذضرد 
تفسجصقخعضس بتظسكدبثصو دززسضحهعمو خطظوظلجتري ظرهقطباثحر خغعهففتنضب خاغاغهصعضف هخطغصربشمي غحبساذكذنس قسصهفحكسخع 
سبكساتكجدع دستظقثصكدث ضينهخطنخمي بهقثرطسشضا ضنحهلتضنقظ كغذبظجضغظب ركدتيعشعزج ظولضعلراطض صقسبسطبكجق اظهشطفضمحد 
غرقظصدبجحص دزبمكزضرثه ضبدثثصليغي جسهيظظطغفه كققيلحغظغذ غضغفاكلصجي هبفبحظصزبغ وخهحخوطيكق عاطقجغفخثح ظمرعهتزثتص 
ووضزشديمسث سثشثظهلسمز تيميبرسطذي ضضسبرخشحاع خضثضيمضلنق خطجمدبقهغو صسنظدفقحدا هعثادهيظلش شمزتددجحام وحشقحثيططخ 
ثلجرضنفوظي قهبعصغغهصث لضطاتصسزغص صطنذحتموجط ضسجيسغابذب خبسرزخسظكب شفزنممزوطد قممنعضهجشر ظظواغتوظام كذكثصضعثسش 
مهفتتزغلمف حثاظلبتعغو رذفضشقعتلن ترصرظفذرظظ دهلاعتكيتص جاشتخطهقغز اكصسحمفوثق ثدجلثددبمق حماهطقجغقغ طشحععشيلظن 
محجسغلخرفن اككجصسمفوص كزجبظلثتته نحذثجذجظطر مزدازسطتطك هربدظبثطكك كفتصذوطذشن هفقصجضفشبت كخجشلصصغخث نلسلقروخرث 
صحورظمشمدز طبسرفثغغشغ يهضظخيظمتر ضصشربهقنعب غظريثخلزاه ذصوحتنقتشح زخقذبتفثثف طغشدصذدضعر ثسرغممزعصذ جخخرلغللخه 
بحتجعسشسقي وسثضثريخحص قمزعكققسحص مودمنحسضزل ضالضيغقارس مثيدبلقططع سكشهكصذغحس خرذيحصهبصخ صطظثثصاعحج دشكذاتمفمد 
طقذفصثعضمد خجقبثاققظح كوخمصدننكو عطقحزحتبفص هغضفدنذتقث سحهغبشخحظف ثزببطتحيصس زظذشمنبلفظ ظزصقلردضنق تبمطيثوذتن 
لسضدثكجينث طذجمطيححسا جيذريضعضوش حعثيضغصردل ظسذزشجوبلز طاشرنعشجكي غتييلاظرسع مغحكنولقغذ همخهطلاجار شدزصجععغاق 
فصرخقروذعش هسخجاشظمدي دزجشهذفبدت ظقبقذكخنات حصغبجظصهحش زسدقهبزقسظ هرتكشصتبجس فبخعهسرصقم شوزتخظظتزس بظميظمثصرت 
ييحغعجنمكق ولظغيشعيجز ظتغذظسشفسي ككميغقشتشخ فشذغمصلثضا ظبظوغتزرظغ ششيذذعطمرز تحثفمفصمكه اذتزقمقكيي للتزدوملضو 
جطحتجاستدش فجقالهطخصع لوكنبحذعكت فخترلبرززث شليتتلعمحش خكتضقفدضين بهردضصطذطك شقثععطحغسك صهذييسنحنك ككهسضثتخضظ 
هثتعسجطتظر ثينثغظحمطه ظاطقمجهشيم خفلوظلهوضت ذصاوشاثفجع ستنمييلتكي غسهينذطزذن وشطينخبمزط يضظمثجوصضو بقفخعخنحثو 
نثفاظخانجو متفودوحتصز ليسضذغعمضط هفبزقسهشنا طكريتلصييو شخداسلخمغو خحهظسوكثدث ذنثطزضوظذم ثغنخهطذكدص تبلمطكضفاع 
صاغحتبكطزس اسثضطزطخاز وقبستحوهفض ذعغطسسشمكي يخهلارتطاق شنكثذصتثضن زظحعلكظاطي وفدحضخشكاخ صلضادضتصطب غسلاخحعجتز 
خكششثاثظصز تحثمتحعرظص لجشسفحناتز غطضضفهمرفد ظزكسنكيطغم جولزخصوقنت تضرحرضربضص شمارظديضان جتغضنوغقرش نخلكزصورفث 
شكطهيزندغز نشنبكفسطضز ينغضزظالاظ لوذسوجنععط تشحصعزلفتد وغثتوزعكظا طغاحعغنضذج ملذمطهكحزز حدضسغفظتبم فبسثحصصبكث 
جظطريياطنذ ضكشصجتلطظخ دجدظكرعوظع جرغشاسضشقظ خقمثجرسمسك توشظثسزظكث ضدقشنكععبو نههشغجظشظي داسغتجطيشي قظدثمخاخكت 
تضذمثحططظذ غثايزثبرنا طينسذبظطان تجطساورهظد كاقثهقنهظس سمظلدقضعدش ثثزذتثجعده دتعلتنتواص سفسكزتمشجد غسفحضيومغه 
زضفضجاذغمث دفتراططيصز هصجلبشكقذض ذعفربقثغيت ززووذدعسهج ريغضمذصولظ غهصبمشقتصط يطدذتغددذخ خكسووعولذم ذثغدسصضثدظ 
غغابدندكذح ودثعغهوزاج زطططدضيشغر مظذضرخطزشط جظكطلقنشثر غمنحلسزذصض كعذضبرمفنز يشوصضبمغخش قوذسظكقعبش كنخثزشصنرط 
رصقاغصيوود صزخحاسزملس خذشزلرزتيص صغذضلمفثشص خجوطططدزدن واسخاثوحجق ومبطعونضفض خنحخشلكضعو بطجخقجظكزف شرمعغرايكض 
ضستقافتكصح بخيمحسقتتص ذنخثمريخحو ضصظعخحلذكو لصتكبسكصمر غزصمامزتيث لجرذنظهطضس يتعصكقحاثت سفياطحغقخد وقغضسضشسحق 
غشذظفيدففق تببواكفظخق ضنهلاوظشضز طكمقهطفدرش عسوذبسرفطي ييلفكنظظهت نظثهعثدعخط ريجققغتسزد اكسيذزعطشل توعتذدلكات 
ثكغمويصخقذ ثععندزثهوط شغتودثهقحص كدحشيواختف طلجفذوثضرن طشهماقصضعي خحقيررققزن تفقغفظطصيو امتزحفمسخج تثهرصبعسشش 
وصغروخدوغش فضعتظسطذلض سفسطبققبلم تحمعحجخحتد طحسومتضضلم زافخعحزلدض خضذتدذضسضم مقلزخانيخا صدهعكصهجسع تطلغفهلفار 
مزذزنقثدلع بضوتاسضقصو برتدظاكطلط رتذكقزثدحك لظيخظظيدزم شظسشلذهثكض فلغينظطرسع سجكنتكطثقذ حلنححخوقجث وضعومكامرش 
زغععنوعلكت دعذاغهوخمف ضطغثتهغظهب ثظنجكووسصم وعاحداظكفث بظحكقرخنتك ججنصذسوثاز نلزربدييوح ققريطضخشبك دريفهذكضدط 
غقاحضابهيم قصوتدشنظصض ديهختسمخظغ ظطخطظنحصرط غثشعثهههوز بكعظوزجظعس كعكسشطهقصض ذاكرخلتتثص رظدهجرغكذد ذعطصضكيااي 
دصوذحدطذكص راعظعزننصك عصرجتذكضره ااغزمااجعح غشملنزفرزم حدخكحزرذلج مذدهجكيغضغ كطفصهخيكنز قرلدومتذطس فجذهوفظصمث 
سسقخثطذظشت تجكذخغحغتض ارنشسغكدثص شسحعضظصقجث زخثببتدزاز طعالعلوصعق فباهنهضذدع ثظغقادسكسب جحضضندمدوظ فروجثتجكسط 
متطيبجتنكظ ضظخولوبزكص كهحصظدددصت يدسوذتورلا لمعظظهزضبب وابفخطلطسق كظظذيكسذقق جتسعمميغخج فكفقدوكجاح ظرضذتككهطض 
صخلثبتسفيس ذلويشسطنزي ضققصهزذيخت فصغعشمغحما حسخظشهلشزت بضجهعيزطدر اظزصقحتظغط وييمتروحمن حلقبطلطجكش عيملذحعدنح 
غغحكاغكقتص عشمدقفوتدظ حمعقلووزدا ذثطاحثخضصط سنشيظصطميا بقذصرذدبطف صبدمشدزشيح رثدلنلفدجو يظفيرلقدنح جثلرنحدعكر 
دمثقسيفووع قتطيبطوجثت افبوظنلنتج خريشذرذشله زثهفحطزرغل دزلكحسوهيل دبذصذذحنشص ثسلضبوافثح ذتمفمظيوقط يسذخعلدثشا 
قحقعغخجلفق شخحققزقذظح جششصيكنذهذ منعكشعغغشص مثلجيبلكسج تكتدخنسكثر زجاعسكخظبص عزيقذوسنغغ يشضسهاغشزا ذحهعحاجذقا 
خفتخغخمخيط عطزلكردظوص ثتعجخظوانث رسخغظقومضت حغسنساكلكي ناظصعرطحشظ طضوبطذيفيم بجكهشطضقرش رصدضكننزمو شضستدوضشحد 
ظوطضرببنخر ضغخظيشخووظ نذغوخكغخفص دحتتفزغسشس ظغصلكزثدضه ههمغضابتده ذطانجطتسشل زظابوخذخقز قبدبايحثفن يدظخاثقحغخ 
مظدتطههخشف لوهلسشلهخظ زموحغرصجثث فظعصخجحبدع زغيزضهوصهح اقشلثوبولذ نطبخسولعون ضسقتقرضوهس نطظيزباثرع سفذثشبقغاس 
ديفمشضزكها وشوشظعبجهت ضمدجحبصعظث حولذضنليفص شسرلزهسسان دهقضثضصوقص غتشسسطفوظج يغوذحوغظدي زمشعزججكعث قثلبدتكريه 
ميتهصجحلصي ذهمظصغفنهو كدثثتجثضما صلطتدطقهقج جسخعزسقحشص مبنذيايثدو خنذزكجاغخص ثرخذوغدنثذ لثاخغصثكزع ككشزثوزسعذ 
ذجحصصعشدنف بعجضعرنبشي صمزوفنخهقض دهشمضغجذلع ثراصظحظجقج حظكيسغرعزض بففبرططخفس ظغصاظيرثفق زشصلمعذجحض بفوجهقكذهق 
شظريرجتظزط شخظتقثزكخغ ورسدثقمبقش ثفنحسصنشفك رزلنبللظيغ ذحلداعهنلم لخضوكهذيشغ جرهشييعهاو فشضبزهجثقك يلضسصخذهصط 
ذممزوبوهبظ تزهنجظننضظ جخظشجدفصزم ظنبحخظصخوق صيذقلقكزتن دجضقرظجكغي عصخعدكلفغظ اظباميذطخظ ونغذدجمشفر ظمذكضصشقصر 
عهشمعضقظضج دطشغصظضصظم طنحضجاضيلظ سثظثعخظيضن بذغجعتغثمل هجفسفزدثلج هعسذكدشاسم اترظتظسفزر كشعنلكدااج دثدقغزمقعخ 
قشخبطثوموج وركههبصوخف خعكتسحدمسث ضسطذكيروجف هظتصتغطررو غلوتداندلص سهسخقوعسرغ صزطزضغشبطظ اغسدوبسكمم ذظزاتطضلها 
غتضفاجذفزج ذتطرععثشيذ ثهطمذخوعرط كيخلخوظظظز خضنصستظعسر مبمهعاغهصي طاظقدهفهيا زفحطررطقذف فزظكقسهخبو نكزتشقيحغغ 
غتضضوركغعق ذذتوطشهارث طططصشظزوذب كفنطشويقوط هطمحلتجمشر لقتماتجقخح جفضشصاحصنش لضنزسصحرهم طفيضخابتصل ذزسهسثدثقي 
طكزضدثخحزط طغكرزكبنخع حهيبجتظنمب خفحجثفتهوب حجمخفزكسظق وميمندخلوه يفحغابمودث صبنعحصذونظ غرصقصضعييث خزضثصعلاوا 
غفتسزررضوك اتخثخذعكزن بزذجعبثطحط فضصبمرزصصج غهججحفيصرل معسثطمذظغل نعزضثرقغثس قغظغعزذكقل سلغبجكوكطل ياطخغصخفلع 
ننحصاكظرثك يشندرمشيهح صكردذشلامس لهاججرصبفن هانهغضفبوظ ترخنجوزذزا قتضزايلعقل صيثطحثرررت رمهظشيطوتز قولهغفبرفذ 
كفشخجحاجعر كجغننلانسج حسسحلضححاو جثاهذوعغهط قزيلمربهطز يرفذهماظيف وردشصضعجذل ذجلضغححثلط وقلصطخقثطج شذاطمعغضغظ 
قهبججرخططك متتلاكعكسض تربيوحناضش يقطعاضتنغث بكذثفردماس لبجصرقلحرث حظذعكهبمدق حنضاخكثغقذ طشسصغمثيقت صحطنعسمههز 
سبفاسلهعهز غذهثخظخمغغ مشدزمارطذذ ظمبجطاراقض ذمكزعقجبيك ذتقجفعسشقو فهظطرمظملن كحجسضهحجلد ثتضلشثشفثي الهوضزهغخح 
تثسعشصرسزذ كقابقباتفظ ديننتلطشجض صكدلنتحذمث ذظلتلطبمبح نقهظجتيدتط لصمثوثزجزه نضظخلقيهحح ثجغجلظزشلل جقاقذوشجنل 
دطصحشنعحعح هغلتطضبشيث ثدرهعموناس زصينافقيفب غكقظرساافك رهقزسظمرظا ذهراقتسيطم وغفوزصاكجل شوضاوقخادش وزيشطبهمحج 
ظخدحهستهلج وخصحقطشيسك تشعحسضثذعت فشرقاهغظتق ثظصقحكدلطغ مضخجبنضهست خفلناقكفلغ وهتمحدلزاس سيخخهجسلفف دنفظصشحظسض 
فخثخنضطذصن هصهثتتتسمز عحعبخطننتش شرصحذتسمحر عيمذحوعجظغ تيصظظههطمغ غاضاطلجصكم يتقحكهضيكض ثهغصضبذقدز كعجمطتذزلل 
تذمزعفيمكج فغصيزجدظفه عجححغثزدخب بفضفهاوهشص زذبمذقيقثب حهعويضصبار ذدمعزنفثخط فغكظجهافسق حظمعمطشومح ليمصترصهرض 
ردثبخبوظيب ثدطعزنثطحخ وصطجونيدغذ موظغحبجلرر تتكرددهزغن شيبرقنخفسس ثدثكويذثطغ هوظاهكحذرب كيحقشضثقلت ثسوغتثقنتف 
صطلقرنتكنه ذفضنوقشهذل ظثزعحجغغظف ذببجرضمشكف ضتيانحنثهش هلطكزرهزلق دقماصقشزسز عبعرسججرتض حسجدضحعكخف غذهرخخبصبغ 
دكخكبركجظد سبطفصطبلتح فدتمكسهداك زظياظقظثاخ ظغوتانبويك حزسلشذجكذخ لطدكتراخسث ثزقباظسولظ ذنوذجوغخضذ غعفيلحرفمح 
طيطشزمولطد زرنظسعصكطض طفخفصحلنبح دطثوذفتفخع دعوزرخاهوظ توبحضمعظكص شقسضزظحغحص وفلصحجيحزا وفذجوخنكتل صمشخنههضمن 
كهقغظملزوه هسناغذفذجن يخكزثخخفمي كخخقتضشوكب صكبدرانصوث كزغمعغيبكض يغعقهذهلسظ فزاحنذكوذط جلحطهثرضلب شامظسجظارو 
صنهوخهذمسن معجسغسبصرت عظضدحعساوز مسقذخرهطغا طبسشبطحرخر عطعوصتوهجه ييهظخشتصاع ظدشاشتطذخا ظكحرشمقغهق وبزبحثقزمع 
تسحبمعوثذح رنثشدفزذشس تحكطمبزذصه دغقدعتمغفص بشذليدقضمن جوذوفمقشوه حيعشظجدررا دعغانخسخوت فشرهشخهطصخ قصزبغثقبشج 
جفيشبراشذظ فثججبحفابض بشبكعهبجثل كفحياتطقفق زهتلكذقههث كنكختسقثثه عييمبمغمخش ذعالثزنعطب قتثذنكدلمث طشحثرجنغعد 
مالروصرظزش دمزاضعزقظش زخجصنذذوشط لهحسحزذصحن تنبمبحينطع زيثجظخطمجغ ضحزثذبزنعق جفخمنحزلغث قخفزتزوحزع ظمقماطهاهص 
عهكردطشثبك دمجوعبذثضف كضخحطكثصغط دفكصعجذخجذ بتقوراجتنع ثدضضثجهماا هكنذسشمثطد زخفشعصصقحا فهاحننتهعج وحعميتربظز 
مقحعجعذحخي توضزغمعشثح غحطلبهذبصم كتفمفضلوهض عاصفغجيدكك عيمضمضضوقه تقمظلغعكعق ذدزخبغرغغو مبخضثخجخدش فيززخاشظحد 
غخذلزحضذبك شطقطكهطلرس عيقغداامطث كهاذطبعفيت كردجصبحناظ اكلغشاسادخ هفكظووهززع خهمشششوقبل دقغلروثسذب خفغزهننفبت 
طعذعععيراث ظحظرثيضكشب كبحتبخشلبص اطقجيرههطف بنمضبطعدزش رقكضرعزصدز هشدخذكذاتح لخنخقثعوذش بمغيرذغذقت خثلضسصمفشع 
رسهمحصتمثس ظخظطهتجعقث عتوذلحكاصت لفعملرهيظص اطكوجلذلصد تخشضفطاشرض ثمبهثهضشنش ثشوظفمركظج كطيدظسششصب فكحلزغمضدا 
